,store,sido,gungu,address,phone
104,사당3호,서울,동작구,사당동 220-119,"02 -3471-9292,9282"
105,상도,서울,동작구,상도동 535 상도2차 두산위브트레지움아파트 상가,02 -3280-1932
106,상도터널,서울,동작구,상도동 159-26,02 -815-8833
107,숭실대,서울,동작구,상도동 489-9,02 -889-2299
108,신대방,서울,동작구,신대방동 607-28,02 -846-9992
109,신대방삼거리,서울,동작구,대방동 407-46,02 -823-1991
110,흑석1호,서울,동작구,흑석동 180-6,02 -814-3377
111,도화(서울),서울,마포구,도화동 55,02 -715-9987
112,망원2동,서울,마포구,망원동 482-9,02 -3143-5575
113,상암,서울,마포구,상암동 34-45,02 -309-2500
114,성산2동,서울,마포구,성산동 592,02 -373-9909
115,신공덕,서울,마포구,신공덕동 159(신공덕 래미안상가 1동109호),02 -703-9919
116,신수,서울,마포구,신수동 451번지 세양청마루아파트 상가 101호,02 -704-6364
117,아현,서울,마포구,아현동 774 마포래미안 푸르지오 101동 상가 114호,02 -363-9993
118,연남,서울,마포구,연남동 369-20,02 -323-1997
119,용강(서울),서울,마포구,대흥동 500-10,02 -711-9993
120,홍대,서울,마포구,서교동 371-3,02 -338-1300
121,독립문,서울,서대문구,냉천동 226,02 -392-6668
122,명지대,서울,서대문구,남가좌동 344-7,02 -305-9996
123,북가좌1호,서울,서대문구,북가좌동 385-8,"02 -304-3003,3053"
124,북아현1호,서울,서대문구,북아현동 1006,02 -393-5393
125,신촌,서울,서대문구,창천동 41-14,02 -312-1991
126,연희1호(서울),서울,서대문구,연희3동 344-26,02 -334-7999
127,홍은1호,서울,서대문구,홍제동 279-52,02 -396-0111
128,홍은사거리,서울,서대문구,홍제동 326-20,02 -3216-9989
129,반포1호,서울,서초구,반포동 94-7,"02 -533-9279,9179"
130,반포삼호가든,서울,서초구,반포동 53-7,02 -591-9901
131,방배1호,서울,서초구,방배동 761-8,02 -535-1991
132,방배2호,서울,서초구,방배동 912-8,02 -523-9956
133,서초1호,서울,서초구,서초동 1357-56,02 -581-9949
134,서초2호,서울,서초구,서초동 1669-15,02 -588-9905
135,서초3호,서울,서초구,서초동 1579-5,02 -582-9233
136,양재1호,서울,서초구,양재동 327-2,02 -579-9245
137,우면,서울,서초구,우면동 720,02 -577-9288
138,잠원1호,서울,서초구,잠원동 15-4,02 -532-9992
139,금호역,서울,성동구,금호동4가 1380,02 -2296-5992
140,성수1호,서울,성동구,성수동2가 235-1,02 -464-9992
141,성수역,서울,성동구,성수동2가 289-251,02 -497-1991
142,왕십리1호,서울,성동구,하왕십리동 946-15,02 -2293-9985
143,왕십리도선,서울,성동구,홍익동 131-1,02 -2292-1991
144,용답,서울,성동구,용답동 60-18,02 -2215-1993
145,응봉,서울,성동구,응봉동 100,02 -2299-9965
146,한양대,서울,성동구,행당동 3-29,02 -2291-1992
147,길음뉴타운,서울,성북구,길음동 1284-17,02 -909-1997
148,동덕여대,서울,성북구,하월곡동 17-1,02 -913-8292
149,동소문,서울,성북구,동선동5가 147-13,02 -953-9922
150,보문,서울,성북구,보문동7가 99,02 -921-3292
151,석관장위,서울,성북구,장위동 50-46,02 -918-9925
152,정릉1호,서울,성북구,정릉동 285-11,"02 -909-3311,9282"
153,정릉2호,서울,성북구,정릉동 175-24,02 -912-1333
154,종암,서울,성북구,종암동 3-544,02 -921-1112
155,한성대,서울,성북구,동소문동3가 31,02 -928-7003
156,가락2호,서울,송파구,가락동 75-7,"02 -448-9005,9045"
157,거여가락1호,서울,송파구,가락동 180-9,02 -406-9282
158,마천1호,서울,송파구,거여동 32-6,02 -404-9907~8
159,문정법조,서울,송파구,문정동 620 송파푸르지오시티 B09호,02 -3012-1992
160,방이2호,서울,송파구,방이동 59-1,02 -420-0495
161,방이역,서울,송파구,오금동 41-23 성암빌딩 1층,"02 -418-9599,9569"
162,석촌,서울,송파구,석촌동 163-1,02 -412-0799
163,송파1호,서울,송파구,송파동 147,02 -418-8892
164,올림픽공원,서울,송파구,풍납동 401-4,02 -478-5844~5
165,위례송파,서울,송파구,장지동 897,02 -2043-1991
166,잠실1호,서울,송파구,잠실동 177-3,02 -416-9939
167,잠실2호,서울,송파구,신천동 11-4,02 -417-9225
168,장지,서울,송파구,문정동 102-1,"02 -403-9225,9222"
169,헬리오시티,서울,송파구,가락동 913 헬리오시티 상가 3A동 01호,02 -406-1991
170,목3동,서울,양천구,목동 722-8 호성빌딩,02 -2655-0027
171,목동1호,서울,양천구,목동 797-3,02 -2645-9925
172,목동2호,서울,양천구,목동 909-8 이화프라자 1층 101호,"02 -2643-9339,2643-9329"
173,목동오거리,서울,양천구,목동 940 현대아이파크상가 102,02 -2647-0092
174,목동파크자이,서울,양천구,신정동 171-68,02 -2039-0447
175,신월1호,서울,양천구,신월동 602-8,02 -2606-1992
176,신월2호,서울,양천구,신월7동 972-6,02 -2697-7272
177,신월사거리,서울,양천구,신월동 166-5,02 -2601-9992
178,신정1호,서울,양천구,신정동 1022-5,02 -2649-9282
179,신트리,서울,양천구,신정동 1267 목동뉴프라자,02 -2605-7892
180,오목교,서울,양천구,신정동 1296 아이파크 상가 1층,02 -2654-0833
181,화곡1호,서울,양천구,신월동 23-17,02 -2606-9961~2
182,당산,서울,영등포구,영등포동8가 35-1,02 -2672-9995
183,대림2호,서울,영등포구,대림동 783-1,02 -847-9939
184,문래,서울,영등포구,문래동3가 77-34,02 -2672-7676
185,선유도역,서울,영등포구,양평동4가 147-3,02 -2069-1991
186,신길1호,서울,영등포구,신길동 296-14,02 -833-6016
187,신길2호,서울,영등포구,신길7동 674,02 -849-0033
188,신풍역,서울,영등포구,신길동 445-2,02 -835-1223
189,여의도,서울,영등포구,여의도동 44-31,02 -769-1555
190,영등포1호,서울,영등포구,신길동 232-42,02 -841-7282
191,영등포역,서울,영등포구,영등포동3가 21-10,02 -2632-1992
192,동부이촌,서울,용산구,이촌1동 301-153 오성상가 103,02 -795-4747
193,보광,서울,용산구,보광동 217-13,02 -3785-1991
194,숙대,서울,용산구,청파동2가 90-11,02 -707-2577
195,신용산역,서울,용산구,한강로2가 122-5,02 -792-8722
196,용문,서울,용산구,용문동 28-26,02 -702-2858
197,후암,서울,용산구,후암동 244-59,02 -757-3535
198,구산역,서울,은평구,갈현동 464-14,02 -352-9949
199,녹번,서울,은평구,녹번동 82-47,02 -359-9200
200,대조,서울특별시,은평구,대조동 231,02 -355-6173~4
201,불광1동,서울,은평구,불광동 554-1 라비앙프라자1층 101호,02 -354-8592
202,신사1동,서울,은평구,신사동 29-13,02 -375-8295
203,역촌1호,서울,은평구,역촌동 55-1,02 -356-4326~7
204,연신내,서울,은평구,불광동 484-72,02 -382-1990
205,은평뉴타운,서울,은평구,진관동 22 은평뉴타운상가 914-103호,02 -359-9288
206,응암1동,서울,은평구,응암동 236-33,02 -389-9327
207,응암오거리,서울,은평구,응암동 595-51,02 -303-6882
208,증산(서울),서울,은평구,증산동 209-18,02 -376-9999
209,대학로,서울,종로구,명륜동4가 113-1,02 -3672-9292
210,숭인,서울,종로구,숭인2동 183-13,02 -765-5800
211,안국,서울,종로구,화동 138-7,02 -734-9992
212,종로1호,서울,종로구,관철동 13-13,02 -737-9292
213,평창,서울,종로구,평창동 158-1,02 -396-7942
214,동대문1호,서울,중구,창신동 464-6,02 -2231-9337
215,서울시청,서울,중구,태평로2가 55,02 -318-1992
216,신당1호,서울,중구,신당동 846,02 -2237-9952~3
217,약수,서울,중구,신당동 374-14,02 -2233-9917
218,망우본동,서울,중랑구,망우동 251-2,02 -433-1993
219,면목1호,서울,중랑구,면목동 103-6,02 -494-9962~3
220,면목2호,서울,중랑구,면목2동 191-126,"02 -494-6282,496-6282"
221,묵동,서울,중랑구,묵동 175-2,02 -948-1992
222,사가정역,서울,중랑구,면목동 496-14,02 -2207-6543
223,상봉1호,서울,중랑구,상봉동 91-1,"02 -491-9738, 9"
224,신내1호,서울,중랑구,신내동 797,02 -2209-9980
225,중화,서울,중랑구,중화동 304-34,02 -433-1992
226,국제신도시,부산,강서구,명지동 3412-6,051-291-9993
227,명지법원네오,부산,강서구,명지동 3432-1 2동 102호,051-201-1991
228,명지신도시,부산,강서구,명지동 3256-5,051-271-7725
229,신호,부산,강서구,신호동 317-15,051-941-9207
230,지사,부산,강서구,지사동 1191-5,051-831-6880
231,구서1호,부산,금정구,구서2동 1024-1,051-516-8600
232,구서역,부산,금정구,구서동 457-23,051-583-2661
233,남산1호,부산,금정구,남산동 99-6,"051-581-9968,9264"
234,부곡1호,부산,금정구,부곡동 23-15,051-517-3009
235,부곡2호,부산,금정구,부곡1동 324-20,051-516-0111
236,부산대,부산,금정구,금강로 장전동 418-13,051-582-8588
237,서동1호,부산,금정구,서동 210-6,051-526-8292
238,장전1호,부산,금정구,장전동 134-19,051-514-8200
239,기장,부산,기장군,기장읍 동부리 134-2,051-722-9945
240,일광신도시,부산,기장군,일광면 삼성리 833-4,051-721-9400
241,정관1호,부산,기장군,정관읍 매학리 751-1,051-728-9233
242,정관2호,부산,기장군,모전리 747-7,051-728-5399
243,대연1호,부산,남구,대연동 1013-8,051-639-9292
244,대연2호,부산,남구,대연동 52-7,051-621-4800
245,대연3호,부산,남구,대연동 1161-9,051-622-1991
246,메트로시티1호,부산,남구,용호동 176-30,051-625-8900
247,못골,부산,남구,대연동 1543-33,051-637-7733
248,문현1호,부산,남구,문현동 359-5,051-634-8292
249,문현2호,부산,남구,문현1동 127-56,051-646-5592
250,용호1호,부산,남구,용호동 555-19,051-626-3999
251,용호2호,부산,남구,동명로 126,051-715-7542
252,용호2호,부산,남구,용호동 396-1,051-715-7542
253,범일1호,부산,동구,범일동 833-2,051-642-8558
254,수정1호,부산,동구,수정동 844-25,051-469-8880
255,초량,부산,동구,초량동 132-1,051-441-9994
256,명륜(부산),부산,동래구,명륜1동 673-9,051-555-9224
257,명장1호,부산,동래구,명장동 26-24번지 국제아파트 상가 106호,"051-525-9233,9345"
258,복천,부산,동래구,복천동 476-1,"051-555-8592,556-8592"
259,사직1호(부산),부산,동래구,사직동 137-26,051-505-9289
260,사직2호,부산,동래구,사직동 89-16,051-501-9995
261,수안,부산,동래구,수안동 192-4,051-557-1990
262,안락2호,부산,동래구,안락동 670-13,051-526-7171
263,온천1호,부산,동래구,온천동 210-46,"051-555-2016,2017"
264,온천2호,부산,동래구,온천동 1411-47,051-506-4949
265,우방신세계,부산,동래구,안락동 471-41,051-521-8477~8
266,가야,부산,부산진구,가야동 478,051-894-9909
267,개금1호,부산,부산진구,개금동 2-1,"051-894-6071,6072"
268,개금2호,부산,부산진구,개금동 523-17,051-894-8292
269,당감,부산,부산진구,당감동 367-2,"051-891-9979,9980"
270,범천,부산,부산진구,범천동 1278-11,051-637-9982
271,부암1호,부산,부산진구,부암동 301-33,051-808-6060
272,서면,부산,부산진구,부전동 266-24,051-808-9981
273,양정,부산,부산진구,양정동 310-6,051-853-5458
274,연지,부산,부산진구,연지동 40-12,051-807-7701~2
275,전포1호,부산,부산진구,전포동 337-20,051-808-5592
276,초읍대공원,부산,부산진구,초읍동 288-6,"051-807-3492,3498"
277,구포1호,부산,북구,구포3동 1228-1,"051-363-9992,5793"
278,구포2호,부산,북구,구포동 932-35,051-341-1992
279,금곡(부산),부산,북구,금곡동 57-6,051-365-1991
280,덕천2호,부산,북구,덕천3동 781-2,"051-331-3179,343-3171"
281,덕천역,부산,북구,덕천동 402-12,051-336-1991
282,만덕1호,부산,북구,만덕동 294,051-341-7771
283,만덕2호,부산,북구,만덕3동 915-6,051-337-4300
284,화명1호,부산,북구,화명동 749,051-338-9933
285,화명3호,부산,북구,화명동 182-5(2층),051-362-7770
286,화명신도시,부산,북구,화명동 2266-1,051-342-9282
287,괘법,부산,사상구,괘법동 516-1,051-325-0090
288,덕포,부산,사상구,덕포동 767-10,051-303-5592
289,동서대,부산,사상구,주례동 55-176,051-325-2827
290,모라,부산,사상구,모라동 1349-4,051-322-9998
291,신주례,부산,사상구,주례2동 3-17,"051-315-9977,324-2626"
292,엄궁,부산,사상구,엄궁동 40-94,"051-311-7599,7598"
293,학장,부산,사상구,학장동 산149-16,051-313-9925
294,괴정1호,부산,사하구,괴정동 487-24,051-202-9951
295,다대1호,부산,사하구,다대동 926-7,051-265-4446
296,다대2호,부산,사하구,다대동 1014,051-266-8806
297,당리괴정2호,부산,사하구,괴정동 577-42,051-207-9242
298,신평1호,부산,사하구,신평동 262-20,051-294-8853~4
299,장림,부산,사하구,장림동 590,051-266-1182
300,하단1호,부산,사하구,하단2동 506-15,051-202-4780~1
301,하단2호,부산,사하구,하단동 605-42,051-292-8592
302,국제신도시,부산,강서구,명지동 3412-6,051-291-9993
303,남부민,부산,서구,충무동2가 3-1,051-247-9282
304,대신,부산,서구,서대신동1가 163-1,051-231-9992~3
305,명지법원네오,부산,강서구,명지동 3432-1 2동 102호,051-201-1991
306,명지신도시,부산,강서구,명지동 3256-5,051-271-7725
307,송도감천,부산,서구,"암남동 64-2 상가동 108호,109호(암남동)",051-231-9292
308,신호,부산,강서구,신호동 317-15,051-941-9207
309,아미부민,부산,서구,부민동1가 11-3,051-242-3651
310,지사,부산,강서구,지사동 1191-5,051-831-6880
311,광안1호,부산,수영구,광안동 120-13,051-754-9210
312,광안2호,부산,수영구,광안동 168-3,"051-754-2092,756-2092"
313,망미1호,부산,수영구,망미동 413-11,051-759-9925
314,민락(부산),부산,수영구,민락동 165-15,051-757-9294
315,수영,부산,수영구,수영동 503-23,051-761-4992
316,거제법조,부산,연제구,거제동 891-14,051-505-5511
317,시청(부산),부산,연제구,거제3동 34-19,051-851-9945
318,연산1호,부산,연제구,연산동 479-9,051-757-3532
319,연산2호,부산,연제구,연산4동 578-1 삼익아파트 상가 101호,051-853-9980~1
320,연산3호,부산,연제구,연산동 2133-48,051-851-7211~2
321,대교남항,부산,영도구,남항동1가 82,051-417-9999
322,동삼,부산,영도구,동삼동 219-146,051-405-9995
323,봉래영선,부산,영도구,"영선동1가 69-2, 69-3",051-417-9288
324,청학,부산,영도구,청학동 13-14,051-417-9996
325,남포부평,부산,중구,중앙동1가 23-6,051-253-7942
326,영주대청,부산,중구,대청동4가 82-13,051-441-4942
327,마린시티,부산,해운대구,우동 1434-2,051-731-1929
328,반송(부산),부산,해운대구,반송2동 216-150,051-545-9289
329,반여1호,부산,해운대구,반여동 1628-5,"051-524-1991,1221"
330,센텀파크,부산,해운대구,센텀동로 102 117호,051-781-7999
331,송정(부산),부산,해운대구,송정동 227-7,051-702-5006
332,우동1호,부산,해운대구,우동 1090-13,051-744-2474~5
333,재송1호,부산,해운대구,반여동 1291-1019,051-782-9989
334,재송2호,부산,해운대구,재송동 1083-10,051-784-9992
335,좌동1호,부산,해운대구,좌동 970,051-703-9917
336,좌동2호,부산,해운대구,좌동 1341-8,051-743-1995
337,좌동3호,부산,해운대구,좌동 1484-1,"051-704-9399,9599"
338,해운대역,부산,해운대구,우동 639-4,051-746-9288
339,계명,대구시,남구,양지로 107,053-626-9992
340,대명1호,대구,남구,대명동 1098-4,053-629-9994
341,봉덕,대구,남구,봉덕동 687-32,053-471-1222
342,앞산,대구,남구,대명동 336-11,053-657-9999
343,이천대봉,대구,남구,이천동 184-9,053-476-5800
344,감삼성당,대구,달서구,감삼동 317-3,"053-552-6999,622-9995"
345,대곡,대구,달서구,도원동 1442-2 1층 107호,053-635-3599
346,대곡2지구,대구,달서구,대곡동 1068,053-637-7556
347,두류,대구,달서구,두류동 620-12,053-525-1202
348,상인,대구,달서구,상인동 1555-1,053-637-6999
349,성서,대구,달서구,신당동 1761-5,053-583-6969
350,송현(대구),대구,달서구,송현1동 207-2,053-656-9945
351,신월성,대구,달서구,월성동 1264번지 트럼프스타 B/D 106호,053-634-9996
352,용산,대구,달서구,용산동 950-1,"053-524-4999,8"
353,용산새방,대구,달서구,용산동 499-2,053-592-6999
354,월성,대구,달서구,본동 1135-4,053-571-9992
355,장기,대구,달서구,장기동 826-6,"053-523-0111, 0222"
356,진천(대구),대구,달서구,진천동 504,053-635-9992
357,호산파호,대구,달서구,호산동 357-116,053-592-5924
358,구지,대구,달성군,구지면 응암리 1204-2,053-615-2992
359,논공,대구,달성군,논공읍 북리 803-148,053-615-9945
360,다사,대구,달성군,다사읍 죽곡리 809-1,053-592-9991
361,명곡,대구,달성군,화원읍 명곡리 320-1,053-644-2999
362,서재세천,대구,달성군,다사읍 서재리 423-15,053-593-9902
363,옥포(대구),대구,달성군,옥포읍 교항리 2911,053-625-1991
364,테크노폴리스,대구,달성군,유가면 봉리 606 하이젠스타 115호,053-617-1991
365,화원,대구,달성군,화원읍 천내리 241-1,053-635-9981
366,대구혁신,대구,동구,각산동 1098-5 102호,053-955-1991
367,동구청,대구,동구,신암동 345-3,053-959-9950
368,동촌,대구,동구,검사동 1111,053-984-1999
369,동호,대구,동구,동호동 384-7,053-963-8558
370,방촌,대구,동구,방촌동 1118-121,053-983-3993
371,신천1호(대구),대구,동구,신천동 501-5,053-742-9985
372,신천2호,대구,동구,신청동 377-12,"053-741-9010,745-5363"
373,율하(대구),대구,동구,율하동 1311번지 102호,053-964-3347
374,이시아,대구,동구,봉무동 1543,053-755-9922
375,지묘,대구,동구,지묘동 808-3,053-985-1003
376,지저불로,대구,동구,지저동 833-15,053-981-5770
377,관음,대구,북구,관음동 1383-9,053-326-9998
378,구암,대구,북구,태전동 1074-6,"053-322-5844,323-9969"
379,금호지구,대구,북구,사수동 912,053-312-1990
380,도남지구,대구,북구,국우동 592-1,053-323-1991
381,동서변,대구,북구,동변동 669-4,053-958-9991
382,동천3지구,대구,북구,동천동 906-3,"053-321-0900,6551"
383,복현1호,대구,북구,복현동 426-5,053-953-3399
384,복현2호,대구,북구,복현동 539 -110 복현서한타운 상가 103호,053-383-9970
385,산격,대구,북구,산격동 1400-20,"053-383-1203, 1102"
386,신암대현,대구,북구,대현동 153-4,053-952-9992
387,연경,대구,북구,연경동 949-1,053-982-9292
388,원대노원,대구,북구,노원동3가 892-1,053-355-3306
389,읍내(대구),대구,북구,읍내동 1449 202동 103호,053-312-4499
390,칠성고성,대구,북구,칠성동2가 42-9,053-353-9400
391,침산,대구,북구,침산동 457-31,"053-356-9995,9905"
392,태전(대구),대구,북구,태전동 155-35,053-312-9980
393,팔달매천,대구,북구,매천동 682,"053-311-9910,9920"
394,학정,대구,북구,학정동 282-14,053-321-1991
395,감삼성당,대구,달서구,감삼동 317-3,"053-552-6999,622-9995"
396,내당,대구,서구,내당동 219-7,"053-522-9199, 555-9981"
397,달성비산,대구,서구,비산동 440-5,053-551-9925
398,대곡,대구,달서구,도원동 1442-2 1층 107호,053-635-3599
399,대곡2지구,대구,달서구,대곡동 1068,053-637-7556
400,두류,대구,달서구,두류동 620-12,053-525-1202
401,상인,대구,달서구,상인동 1555-1,053-637-6999
402,성서,대구,달서구,신당동 1761-5,053-583-6969
403,송현(대구),대구,달서구,송현1동 207-2,053-656-9945
404,신월성,대구,달서구,월성동 1264번지 트럼프스타 B/D 106호,053-634-9996
405,용산,대구,달서구,용산동 950-1,"053-524-4999,8"
406,용산새방,대구,달서구,용산동 499-2,053-592-6999
407,월성,대구,달서구,본동 1135-4,053-571-9992
408,장기,대구,달서구,장기동 826-6,"053-523-0111, 0222"
409,진천(대구),대구,달서구,진천동 504,053-635-9992
410,평리,대구,서구,평리동 1217-2,053-556-9989
411,호산파호,대구,달서구,호산동 357-116,053-592-5924
412,만촌1호,대구,수성구,만촌동 849-2,053-745-7123
413,만촌2호,대구,수성구,만촌1동 1326-32,053-755-8592~1
414,범물,대구,수성구,범물동 1374-4,053-782-6464
415,범어1호,대구,수성구,범어동 203-18,053-742-9912
416,범어2호,대구,수성구,범어동 478-12,053-752-1991
417,수성(대구),대구,수성구,수성동4가 1022-11,053-743-3993
418,시지1호,대구,수성구,매호동 1328-12,"053-792-9981,9927"
419,시지2호,대구,수성구,시지동 489-2,053-792-7729
420,시지3호,대구,수성구,신매동 593-4,053-791-8225
421,중동,대구,수성구,중동 258-3,053-765-9901~2
422,파동,대구,수성구,상동 380-2,"053-761-5901, 766-5419"
423,황금,대구,수성구,황금동 843-1,053-765-6999
424,남산,대구,중구,남산동 94-25,"053-255-9982,3"
425,중앙(대구),대구,중구,남일동 33-9,053-425-9919
426,강화,인천,강화군,강화읍 갑곳리 199-1,032-933-3244
427,계산1호,인천,계양구,계산동 1081-10,032-555-9980
428,계산2호,인천,계양구,계산동 61-2,032-551-5592
429,계산3호,인천,계양구,계산동 942-30,032-553-9289
430,임학박촌,인천,계양구,박촌동 52-3,"032-553-3999,556-3999"
431,작전1호,인천,계양구,작전동 149-1,032-547-8933
432,효성1호,인천,계양구,"효성1동 21-11 현대아파트 상가동 101호, 102호, 103호",032-544-6711~2
433,효성2호,인천,계양구,효성2동 273-3,032-542-9244
434,관교,인천,남구,관교동 321-5,032-441-9994~5
435,용현2동,인천,남구,용현동 558-32,032-889-1400
436,용현5동,인천,남구,용현동 630-45,032-888-9191
